The Blacklist,43 min,(2013,"Crime, Drama, Mystery",8.0,James Spader,"Megan Boone , Diego Klattenhoff , Ryan Eggold , ","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
Curb Your Enthusiasm,28 min,(2000,Comedy,8.7,Larry David,"Cheryl Hines , Jeff Garlin , Susie Essman , ",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
American Crime Story,42 min,(2016,"Biography, Crime, Drama",8.4,Sarah Paulson,"Annaleigh Ashford , Sterling K. Brown , Kenneth Choi , ",An anthology series centered around America's most notorious crimes and criminals.
Castle,43 min,(2009-2016),"Comedy, Crime, Drama",8.1,Nathan Fillion,"Stana Katic , Susan Sullivan , Jon Huertas , ","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
Yellowstone,60 min,(2018,"Drama, Western",8.6,Kevin Costner,"Luke Grimes , Kelly Reilly , Wes Bentley , ",A ranching family in Montana faces off against others encroaching on their land.
Friends,22 min,(1994-2004),"Comedy, Romance",8.8,Jennifer Aniston,"Courteney Cox , Lisa Kudrow , Matt LeBlanc , ",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
Peaky Blinders,60 min,(2014,"Crime, Drama",8.8,Cillian Murphy,"Paul Anderson , Helen McCrory , Sophie Rundle , ","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
NCIS: Naval Criminal Investigative Service,60 min,(2003,"Action, Crime, Drama",7.7,Mark Harmon,"David McCallum , Sean Murray , Pauley Perrette , ","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
Scream,111 min,(1996),"Horror, Mystery",7.3,Wes Craven,"Neve Campbell , Courteney Cox , David Arquette , Skeet Ulrich , ","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
Lucifer,42 min,(2016-2021),"Crime, Drama, Fantasy",8.1,Tom Ellis,"Lauren German , Kevin Alejandro , D.B. Woodside , ",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
Breaking Bad,49 min,(2008-2013),"Crime, Drama, Thriller",9.4,Bryan Cranston,"Aaron Paul , Anna Gunn , Betsy Brandt , ",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
Chicago Fire,43 min,(2012,"Action, Drama",8.0,Taylor Kinney,"Christian Stolte , Eamonn Walker , Joe Minoso , ","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
Law & Order: Special Victims Unit,60 min,(1999,"Crime, Drama, Mystery",8.0,Mariska Hargitay,"Christopher Meloni , Ice-T , Dann Florek , ","This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes."
Another Life,43 min,(2019,"Adventure, Drama, Mystery",5.1,Katee Sackhoff,"Samuel Anderson , A.J. Rivera , JayR Tinaco , ",Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.
Shameless,46 min,(2011-2021),"Comedy, Drama",8.5,Emmy Rossum,"William H. Macy , Ethan Cutkosky , Jeremy Allen White , ","A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Titans,45 min,(I) (2018,"Action, Adventure, Crime",7.6,Brenton Thwaites,"Anna Diop , Ryan Potter , Teagan Croft , ",A team of young superheroes combat evil and other perils.
La casa de papel,70 min,(2017-2021),"Action, Crime, Drama",8.2,Úrsula Corberó,"Álvaro Morte , Itziar Ituño , Pedro Alonso , ",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Stranger Things,51 min,(2016,"Drama, Fantasy, Horror",8.7,Millie Bobby Brown,"Finn Wolfhard , Winona Ryder , David Harbour , ","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Halloween,106 min,(I) (2018),"Crime, Horror, Thriller",6.6,David Gordon Green,"Jamie Lee Curtis , Judy Greer , Andi Matichak , James Jude Courtney , ","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
Doctor Who,45 min,(2005,"Adventure, Drama, Family",8.6,Jodie Whittaker,"Peter Capaldi , Pearl Mackie , Matt Smith , ",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
The Sinner,45 min,(2017,"Crime, Drama, Mystery",7.9,Bill Pullman,"Jessica Hecht , Dohn Norwood , Adam LeFevre , ",Anthology series that examines how and why ordinary people commit brutal crimes.
Dexter,53 min,(2006-2013),"Crime, Drama, Mystery",8.6,Michael C. Hall,"Jennifer Carpenter , David Zayas , James Remar , ","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
The Haunting of Hill House,572 min,(2018),"Drama, Horror, Mystery",8.6,Michiel Huisman,"Carla Gugino , Henry Thomas , Elizabeth Reaser , ","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
Supernatural,44 min,(2005-2020),"Drama, Fantasy, Horror",8.4,Jared Padalecki,"Jensen Ackles , Jim Beaver , Misha Collins , ","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
Criminal Minds,42 min,(2005-2020),"Crime, Drama, Mystery",8.1,Matthew Gray Gubler,"Kirsten Vangsness , A.J. Cook , Joe Mantegna , ","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
The Boys,60 min,(2019,"Action, Crime, Drama",8.7,Karl Urban,"Jack Quaid , Antony Starr , Erin Moriarty , ",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
Blade Runner 2049,164 min,(2017),"Action, Drama, Mystery",8.0,Denis Villeneuve,"Harrison Ford , Ryan Gosling , Ana de Armas , Dave Bautista , ","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Doom Patrol,60 min,(2019,"Action, Adventure, Comedy",7.9,April Bowlby,"Diane Guerrero , Joivan Wade , Matt Bomer , ",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
The Good Doctor,41 min,(2017,Drama,8.1,Freddie Highmore,"Hill Harper , Richard Schiff , Antonia Thomas , ","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
Vikings,44 min,(2013-2020),"Action, Adventure, Drama",8.5,Katheryn Winnick,"Gustaf Skarsgård , Alexander Ludwig , Georgia Hirst , ","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
A Nightmare on Elm Street,91 min,(1984),Horror,7.5,Wes Craven,"Heather Langenkamp , Johnny Depp , Robert Englund , John Saxon , ",The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.
Dynasty,42 min,(2017,Drama,7.3,Elizabeth Gillies,"Rafael de la Fuente , Robert Christopher Riley , Sam Adegoke , ",Follows two of America's wealthiest families as they feud for control over their fortune and their children.
Riverdale,45 min,(2017,"Crime, Drama, Mystery",6.7,K.J. Apa,"Lili Reinhart , Camila Mendes , Cole Sprouse , ","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
The Nightmare Before Christmas,76 min,(1993),"Animation, Family, Fantasy",8.0,Henry Selick,"Danny Elfman , Chris Sarandon , Catherine O'Hara , William Hickey , ","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
Fear the Walking Dead,44 min,(2015,"Drama, Horror, Sci-Fi",6.9,Kim Dickens,"Frank Dillane , Cliff Curtis , Rubén Blades , ","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
